Symbol,Text,Name,Date,Favorites,Retweets,Language,Tweet Type,Hashtags,Mentions,Media Type
MCD,Here’s How French McDonalds Are Different From American Ones https://t.co/sw1LkmsZJE,BuzzFeed,29/07/2020,110,13,en,Tweet,0,0,
MCD,Recreate A Whole McDonald's Meal At Home https://t.co/XneWOiBHVQ,BuzzFeed,29/07/2020,299,50,en,Tweet,0,0,video
SBUX,"Starbucks sales are still getting crushed by coronavirus

$SBUX ? 5% pre-market
https://t.co/Bay3hXgKfe",Stocktwits,29/07/2020,11,2,en,Tweet,0,0,
SBUX,Big PreMarket Prep today! Earnings from $SHOP $AMD $SBUX $V and more. Plus @Sonnenshein at 8:35 ET and @hyliion CEO @ThomasHealy47 at 9. Listen in and join our chat! https://t.co/Kyk4erycZI,Benzinga,29/07/2020,9,3,en,Tweet,0,3,
SBUX,42 Stocks Moving in Wednesday's Pre-Market Session $SNOA $KODK $SCKT $ONDK $BGFV $LB $CVEO $AMD $CAR $FEYE $SBUX $BOXL $SYPR $FRAN $ENT $IGC $TNXP $OCGN $SNGX $STX https://t.co/GA2BTlTqs8,Benzinga,29/07/2020,11,6,en,Tweet,0,0,
SBUX,RT @TheStreet : .@JimCramer says $SBUX is a major winner on social distancing: https://t.co/w8Tiw5tgMl,Jim Cramer,29/07/2020,0,0,en,Retweet,0,1,
MCD,Recreate A Whole McDonald's Meal At Home https://t.co/6uPbEEz63r,BuzzFeed,02/08/2020,243,33,en,Tweet,0,0,video
MCD,"Child chokes on face mask found in McDonald's chicken nuggets, mom claims https://t.co/hTnSIxbuqu",Newsweek,05/08/2020,16,4,en,Tweet,0,0,
MCD,"McDonald's $MCD Goes After Former CEO's Severance Payment In Lawsuit, Says He Lied About Employee Relationships

https://t.co/BXCkhhePgS",Benzinga,10/08/2020,1,1,en,Tweet,0,0,
MCD,"McDonald's claims fired CEO, whose severance package is said to be worth $42 million, destroyed a paper trail of his ""inappropriate personal behavior"" https://t.co/ZQu3m4RZei",The Washington Post,10/08/2020,198,110,en,Tweet,0,0,
MCD,Recreate A Whole McDonald's Meal At Home https://t.co/YDdLcanyXO,BuzzFeed,12/08/2020,218,28,en,Tweet,0,0,video
MCD,"Coronavirus cases at McDonald's, Taco Bell, among 80 ""active workplace outbreaks"" in Oregon https://t.co/WafqztOJSt",Newsweek,13/08/2020,37,39,en,Tweet,0,0,
MCD,"The chicken sandwich wars aren’t over: Wendy’s has a new option, and McDonald’s is about to get in https://t.co/wDbCoWX2Xp",The Washington Post,13/08/2020,87,23,en,Tweet,0,0,
SBUX,"Here's how to order your next Starbucks specialty. 

Thanks to: 
https://t.co/FOf2cvOY71
https://t.co/phdliB1dGw https://t.co/c0ssV4t2is",BuzzFeed,17/08/2020,261,53,en,Tweet,0,0,video
SBUX,"RT @ZoltanSuranyi1 : PreMarket Prep Is Now Live! Go To #bz-premarket-prep Room In Benzinga Pro's Chat Tool Or Go To:

https://t.co/32vdEluhYA

@Benzinga $SPY $GNUS $NIO $EHTH $SBUX $TGT $LOW $AAPL $AMZN $GLPG $BA FL $V $F $AMD $MRNA $SNY $PFE $NVDA $AAL $UAL $KODK $MMM $XOM",Benzinga,19/08/2020,0,0,en,Retweet,1,1,
SBUX,RT @dwyer_marty : @jimcramer Using Chillman's barbell???approach $CRWD?? but $NKE and $SBUX ??,Jim Cramer,24/08/2020,0,0,en,Retweet,0,1,
SBUX,Starbucks Pumpkin Spice Latte may be returning earlier than ever this year https://t.co/hA2gyENPgC,CNBC,24/08/2020,86,19,en,Tweet,0,0,
SBUX,"New for subscribers:  Here are Tuesday's biggest analyst calls of the day: Apple, Facebook, Chipotle, Starbucks &amp; more https://t.co/l9YKZDveVu Check out @CNBCPro today.",CNBC,25/08/2020,7,1,en,Tweet,0,1,
SBUX,"Stocks making the biggest moves midday: Gap, Medtronic, Apple, Starbucks, Chipotle and more https://t.co/yD0es48GaC",CNBC,25/08/2020,20,5,en,Tweet,0,0,
SBUX,"Here's how to order your next Starbucks specialty. 

Thanks to: 
https://t.co/FOf2cvOY71
https://t.co/phdliB1dGw https://t.co/NcIB5ER1XU",BuzzFeed,25/08/2020,126,18,en,Tweet,0,0,video
MCD,"Internal McDonald's $MCD Investigation Deepens After CEO Firing: Report

https://t.co/MkIOKgK5Ci",Benzinga,26/08/2020,2,2,en,Tweet,0,0,
MCD,"McDonald's Spicy Chicken McNuggets, Chips Ahoy! McFlurry release date, prices https://t.co/fwFO6Nx18h",Newsweek,26/08/2020,15,3,en,Tweet,0,0,
SBUX,Starbucks to push for employees and customers to vote on Election Day https://t.co/inJOe3LDL9,CNBC,27/08/2020,84,28,en,Tweet,0,0,
SBUX,"Barron's Picks And Pans: $MCD $CRM $SBUX...

https://t.co/muKpqmzVlZ",Benzinga,29/08/2020,3,2,en,Tweet,0,0,
MCD,"McDonald's $MCD Says Ex-CEO Easterbrook 'Breached Fiduciary Duties'

https://t.co/ScItGVFaTE https://t.co/HYcc0OjKl0",Benzinga,31/08/2020,3,1,en,Tweet,0,0,animated_gif
MCD,"McDonald's slammed its former CEO Steve Easterbrook as ""morally bankrupt"" after he asked for a dismissal of the chain's lawsuit. https://t.co/sVYzMq6Czd",CNBC,31/08/2020,26,9,en,Tweet,0,0,
MCD,"“When McDonald’s investigated, Steve Easterbrook lied.” McDonald’s fires back at former CEO Steve Easterbrook, after he asked for the lawsuit against him to be dismissed. @katerogers has the details. https://t.co/wHuFgIakRB https://t.co/RHLPu2AaDO",CNBC,31/08/2020,31,11,en,Tweet,0,1,video
MCD,Can Mcdonald's Food Rot? $MCD https://t.co/WmOPEqgU2u https://t.co/bB2uGLVqw4,Benzinga,01/09/2020,1,0,en,Tweet,0,0,animated_gif
MCD,52 Black former McDonald’s franchisees are suing the company for racial discrimination. @katerogers has the details. https://t.co/bWrWuRdSmN https://t.co/kaIla1MfG6,CNBC,01/09/2020,38,13,en,Tweet,0,1,video
MCD,52 Black former McDonald’s franchisees are suing the company for racial discrimination. @katerogers has the details. https://t.co/bWrWuRvtLn https://t.co/XkSJlB364E,CNBC,01/09/2020,33,19,en,Tweet,0,1,video
MCD,52 former McDonald's franchisees sue chain for racial discrimination https://t.co/bWrWuRvtLn,CNBC,01/09/2020,41,19,en,Tweet,0,0,
MCD,52 former franchisees accuse McDonald’s of racial discrimination in lawsuit https://t.co/485jVdV7iF,The Washington Post,01/09/2020,160,76,en,Tweet,0,0,
MCD,"RT @PowerLunch : 52 black former franchise owners are suing @McDonalds for racial discrimination. The plaintiffs' attorney walks us through the lawsuit. 

$MCD https://t.co/O1ykzhABNF",CNBC,02/09/2020,0,0,en,Retweet,0,1,video
SBUX,RT @Grow_mag : Pumpkin spice latte season is here — but it might not net the sales growth Starbucks usually sees. https://t.co/T5OU0I2JPK,CNBC,02/09/2020,0,0,en,Retweet,0,0,
