Symbol,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions,Media Type
BKNG,A new advertisement for the road to nowhere from Booking’s Kayak shows just how low the travel industry is flying amid the coronavirus. https://t.co/Kw2Uuv1sMR,WSJ Markets,02/06/2020,2,Tweet,0,0,
BKNG,"RT @WSJ : From restaurant bookings to searches for driving directions, @davidhodari explains the unconventional indicators market watchers are now looking at to understand how the economy is faring during the pandemic #WSJWhatsNow https://t.co/J4BaF2FRAm",WSJ Markets,23/06/2020,0,Retweet,1,1,video
BKNG,A Peek Into The Markets: US Stock Futures Down; All Eyes On Jobs Report $BKNG $DISH $MGA https://t.co/MZJnNxgxzy #premarket,Benzinga,07/08/2020,4,Tweet,1,0,
BKNG,54 Stocks Moving in Friday's Pre-Market Session $KZIA $CNDT $PSTV $HBP $TRUE $ZSAN $GRPN $BNGO $STMP $ADMS $ZG $AAOI $SAIL $SWCH $TMUS $YELP $BKNG $RKT $JAN $AYX $CBL $APDN $NBY $ILMN $ADIL $AVCT $DDOG $DOYU $DVAX $ADTX $UBER https://t.co/bQs7nUDh7w,Benzinga,07/08/2020,3,Tweet,0,0,
BKNG,Booking... four guests.. trying to figure it all out NOW !,Jim Cramer,27/08/2020,10,Tweet,0,0,
BKNG,"You can be a skeptic. Me, I am booking trips again. The scientists behind and the scale of the test and its reliability will change things. You can believe me or not or back another company. I don't care. https://t.co/qwzoJbhjks",Jim Cramer,29/08/2020,28,Tweet,0,0,
EXPE,"Stocks reporting earnings after the close today:

$DIS, $ATVI, $PLNT, $EXPE",Investors.com,07/11/2019,0,Reply,0,0,
EXPE,"$EXPE Expedia Earnings 
 
EPS: $1.24 vs $1.18 est. 
Revs: $2.74B vs $2.76B est.  
 
First move higher.",Stocktwits,13/02/2020,3,Tweet,0,0,
EXPE,"Trending Tickers BMO 2/14/20
 
$CGC Canopy Growth +23%
Nailed earnings, pot ETF $MJ +5% pre. 
 
$NVDA +6%
Strong data center revenue - $968M.??
 
$ROKU +9%
Revenues rise as cord cutting continues.
 
$EXPE +11%
“As I said before, we were a bloated organization,” - Chairman Diller https://t.co/tOmL3j8q2C",Stocktwits,14/02/2020,15,Tweet,0,0,animated_gif
EXPE,"Expedia Option Trader Bets $4M On 73% Upside From Here
$EXPE https://t.co/g9McjJbAhq",Benzinga,14/04/2020,0,Tweet,0,0,
EXPE,This Expedia Analyst Is Buying The Dip https://t.co/K0Rmu2r7yy $EXPE,Benzinga,26/04/2020,1,Tweet,0,0,
EXPE,RT @TheStreet : .@JimCramer isn't loving Expedia after earnings:  https://t.co/XvCaNdzntU,Jim Cramer,21/05/2020,0,Retweet,0,1,
EXPE,An odd positive:  $EXPE Cash Burn Rates Coming Down as Cancellation Rates Drop. Just what they need along with the massive reorg and new mgmt.,Stephanie Link,11/07/2020,3,Tweet,0,0,
EXPE,"As Airbnb files to go public, traders break down where Expedia, Booking are headed next $EXPE $BKNG (via @TradingNation) https://t.co/YFMC7lvA14",CNBC,21/08/2020,7,Tweet,0,1,
HLT,"$HLT $HOT remain BAC's top ideas into y/end and 2015 w/upside to estimates, buybacks, valuation.",Stephanie Link,25/11/2014,1,Tweet,0,0,
